s,xo=fo(s),xi=f(s),xn,yo,yi,yn
0,1,1,0.00250252,0.15,0.15,0.000375378
0.2,1.24573,2.15503,1.3729,0.31436,0.450754,0.206254
0.4,1.55185,0.795043,0.938454,0.499983,0.502398,0.316084
0.6,1.93318,1.65377,2.55066,0.714962,0.675103,0.651271
0.8,2.40822,3.39758,2.57824,0.968952,1.08347,0.940317
1,3,2.45598,2.95975,1.27361,1.28935,1.24323
1.2,3.73719,3.20062,3.43778,1.64315,1.57604,1.57241
1.4,4.65554,5.64614,5.44746,2.09501,2.18656,2.15367
1.6,5.79955,5.51164,6.44523,2.65069,2.68532,2.7974
1.8,7.22467,6.47369,7.71788,3.33678,3.25357,3.53548
2,9,9.91295,8.34822,4.18627,4.25248,4.25739
